Anomaly_ID,Detected_Date,Client_ID,Region,Anomaly_Type,Severity,Description,Detection_Time,Resolution_Time,Action_Taken,Month
ANO-0012,2025-01-28,CLT-0328,United States,Volume Spike,Critical,"Transaction volume spiked from 4,638 to 55,656 per hour",28 minutes,4 hours,Client contacted — confirmed legitimate marketing campaign spike,Jan-2025
ANO-0013,2025-02-03,CLT-0271,United States,Volume Drop,High,"Transaction volume dropped 76% below normal baseline of 7,014/hr",50 minutes,4 hours,Client notified proactively — resolved within SLA window,Feb-2025
ANO-0014,2025-02-04,CLT-0349,United States,Failed Transaction Surge,High,Failed transaction rate surged from 2.4% to 44.5%,52 minutes,1 hours,Client contacted — confirmed legitimate marketing campaign spike,Feb-2025
ANO-0015,2025-02-06,CLT-0259,United States,Volume Drop,High,"Transaction volume dropped 90% below normal baseline of 4,730/hr",50 minutes,7 hours,Escalated to VP Engineering — root cause identified as deployment issue,Feb-2025
ANO-0016,2025-02-10,CLT-0145,United States,Volume Spike,Medium,"Transaction volume spiked from 3,230 to 48,450 per hour",22 minutes,8 hours,Network routing issue identified and corrected,Feb-2025
ANO-0017,2025-02-10,CLT-0105,United States,Volume Drop,Critical,"Transaction volume dropped 78% below normal baseline of 6,591/hr",13 minutes,4 hours,Fraud detection rule updated — false positive resolved,Feb-2025
ANO-0018,2025-02-12,CLT-0202,United States,Volume Drop,Critical,"Transaction volume dropped 83% below normal baseline of 4,117/hr",17 minutes,1 hours,Escalated to VP Engineering — root cause identified as deployment issue,Feb-2025
ANO-0019,2025-02-14,CLT-0029,United Kingdom,Failed Transaction Surge,Medium,Failed transaction rate surged from 2.6% to 54.7%,52 minutes,6 hours,Auto-alert triggered — ops team investigated and resolved,Feb-2025
ANO-0020,2025-02-17,CLT-0327,Germany,Failed Transaction Surge,Critical,Failed transaction rate surged from 2.3% to 34.7%,9 minutes,5 hours,Compliance team notified — transaction pattern reviewed,Feb-2025
ANO-0021,2025-02-17,CLT-0183,United States,Volume Drop,Medium,"Transaction volume dropped 96% below normal baseline of 3,113/hr",34 minutes,9 hours,Vendor incident raised with Stripe — resolved after API fix,Feb-2025
ANO-0022,2025-02-19,CLT-0070,United States,Failed Transaction Surge,Medium,Failed transaction rate surged from 2.6% to 46.6%,51 minutes,9 hours,Data pipeline restarted — anomaly cleared,Feb-2025
ANO-0023,2025-02-21,CLT-0033,United States,Volume Drop,High,"Transaction volume dropped 80% below normal baseline of 3,184/hr",15 minutes,9 hours,Network routing issue identified and corrected,Feb-2025
ANO-0024,2025-02-25,CLT-0306,United States,Volume Spike,Medium,"Transaction volume spiked from 5,472 to 32,832 per hour",22 minutes,3 hours,Escalated to VP Engineering — root cause identified as deployment issue,Feb-2025
ANO-0025,2025-02-25,CLT-0229,United States,Volume Drop,Critical,"Transaction volume dropped 72% below normal baseline of 6,126/hr",43 minutes,2 hours,Compliance team notified — transaction pattern reviewed,Feb-2025
ANO-0026,2025-03-03,CLT-0171,United States,Volume Drop,High,"Transaction volume dropped 71% below normal baseline of 3,591/hr",12 minutes,10 hours,Network routing issue identified and corrected,Mar-2025
ANO-0027,2025-03-04,CLT-0294,Germany,Volume Spike,High,"Transaction volume spiked from 5,390 to 43,120 per hour",47 minutes,7 hours,Auto-alert triggered — ops team investigated and resolved,Mar-2025
ANO-0028,2025-03-05,CLT-0073,Germany,Volume Drop,High,"Transaction volume dropped 85% below normal baseline of 5,850/hr",9 minutes,3 hours,Data pipeline restarted — anomaly cleared,Mar-2025
ANO-0029,2025-03-07,CLT-0303,United Kingdom,Failed Transaction Surge,High,Failed transaction rate surged from 2.9% to 28.9%,11 minutes,10 hours,Network routing issue identified and corrected,Mar-2025
ANO-0030,2025-03-10,CLT-0338,Germany,Volume Drop,Critical,"Transaction volume dropped 78% below normal baseline of 7,810/hr",53 minutes,4 hours,Escalated to VP Engineering — root cause identified as deployment issue,Mar-2025
ANO-0031,2025-03-11,CLT-0119,United Kingdom,Volume Spike,High,"Transaction volume spiked from 3,788 to 26,516 per hour",28 minutes,1 hours,Compliance team notified — transaction pattern reviewed,Mar-2025
ANO-0032,2025-03-11,CLT-0285,United States,Volume Spike,High,"Transaction volume spiked from 3,880 to 34,920 per hour",13 minutes,9 hours,Vendor incident raised with Stripe — resolved after API fix,Mar-2025
ANO-0033,2025-03-12,CLT-0029,United Kingdom,Failed Transaction Surge,Critical,Failed transaction rate surged from 2.1% to 54.5%,11 minutes,3 hours,Vendor incident raised with Stripe — resolved after API fix,Mar-2025
ANO-0034,2025-03-13,CLT-0283,United States,Volume Spike,Critical,"Transaction volume spiked from 7,494 to 97,422 per hour",29 minutes,5 hours,Escalated to VP Engineering — root cause identified as deployment issue,Mar-2025
ANO-0035,2025-03-17,CLT-0183,United States,Failed Transaction Surge,Medium,Failed transaction rate surged from 2.3% to 49.7%,8 minutes,12 hours,Data pipeline restarted — anomaly cleared,Mar-2025
ANO-0036,2025-03-18,CLT-0153,United States,Volume Spike,High,"Transaction volume spiked from 3,731 to 52,234 per hour",53 minutes,10 hours,Client notified proactively — resolved within SLA window,Mar-2025
ANO-0037,2025-03-17,CLT-0177,United States,Volume Drop,Critical,"Transaction volume dropped 79% below normal baseline of 3,614/hr",9 minutes,1 hours,Compliance team notified — transaction pattern reviewed,Mar-2025
ANO-0038,2025-03-19,CLT-0200,United States,Volume Drop,Medium,"Transaction volume dropped 94% below normal baseline of 4,092/hr",30 minutes,8 hours,Data pipeline restarted — anomaly cleared,Mar-2025
ANO-0039,2025-03-20,CLT-0322,United States,Volume Drop,High,"Transaction volume dropped 78% below normal baseline of 5,151/hr",38 minutes,11 hours,Engineering rollback executed — normal volumes restored,Mar-2025
ANO-0040,2025-03-21,CLT-0208,United States,Volume Spike,Medium,"Transaction volume spiked from 5,445 to 49,005 per hour",14 minutes,12 hours,Network routing issue identified and corrected,Mar-2025
ANO-0041,2025-03-25,CLT-0111,United States,Failed Transaction Surge,Critical,Failed transaction rate surged from 2.7% to 51.7%,50 minutes,3 hours,Data pipeline restarted — anomaly cleared,Mar-2025
ANO-0042,2025-03-24,CLT-0121,United Kingdom,Volume Spike,High,"Transaction volume spiked from 5,877 to 76,401 per hour",12 minutes,9 hours,Escalated to VP Engineering — root cause identified as deployment issue,Mar-2025
ANO-0043,2025-03-25,CLT-0109,United Kingdom,Volume Drop,Critical,"Transaction volume dropped 96% below normal baseline of 6,986/hr",45 minutes,6 hours,Data pipeline restarted — anomaly cleared,Mar-2025
ANO-0044,2025-04-01,CLT-0304,United States,Volume Drop,Medium,"Transaction volume dropped 81% below normal baseline of 6,776/hr",35 minutes,7 hours,Network routing issue identified and corrected,Apr-2025
ANO-0045,2025-04-02,CLT-0311,United States,Failed Transaction Surge,Medium,Failed transaction rate surged from 1.6% to 45.9%,34 minutes,8 hours,Auto-alert triggered — ops team investigated and resolved,Apr-2025
ANO-0046,2025-04-04,CLT-0149,United States,Volume Drop,Medium,"Transaction volume dropped 88% below normal baseline of 7,854/hr",11 minutes,10 hours,Vendor incident raised with Stripe — resolved after API fix,Apr-2025
ANO-0047,2025-04-07,CLT-0102,United States,Volume Spike,Medium,"Transaction volume spiked from 3,637 to 25,459 per hour",24 minutes,12 hours,Vendor incident raised with Stripe — resolved after API fix,Apr-2025
ANO-0048,2025-04-07,CLT-0170,United Kingdom,Failed Transaction Surge,Medium,Failed transaction rate surged from 1.7% to 64.5%,55 minutes,9 hours,Data pipeline restarted — anomaly cleared,Apr-2025
ANO-0049,2025-04-09,CLT-0107,United Kingdom,Volume Drop,High,"Transaction volume dropped 79% below normal baseline of 3,813/hr",45 minutes,3 hours,Vendor incident raised with Stripe — resolved after API fix,Apr-2025
ANO-0050,2025-04-10,CLT-0289,United States,Volume Drop,Medium,"Transaction volume dropped 80% below normal baseline of 7,771/hr",54 minutes,3 hours,Vendor incident raised with Stripe — resolved after API fix,Apr-2025
ANO-0051,2025-04-14,CLT-0218,France,Failed Transaction Surge,Critical,Failed transaction rate surged from 2.7% to 38.8%,19 minutes,6 hours,Engineering rollback executed — normal volumes restored,Apr-2025
ANO-0052,2025-04-15,CLT-0172,United States,Volume Drop,High,"Transaction volume dropped 79% below normal baseline of 6,212/hr",18 minutes,12 hours,Client contacted — confirmed legitimate marketing campaign spike,Apr-2025
ANO-0053,2025-04-15,CLT-0169,United States,Failed Transaction Surge,High,Failed transaction rate surged from 2.7% to 32.1%,36 minutes,9 hours,Engineering rollback executed — normal volumes restored,Apr-2025
ANO-0054,2025-04-17,CLT-0128,United Kingdom,Volume Spike,Medium,"Transaction volume spiked from 4,622 to 46,220 per hour",48 minutes,5 hours,Client notified proactively — resolved within SLA window,Apr-2025
ANO-0055,2025-04-18,CLT-0001,United States,Volume Spike,Medium,"Transaction volume spiked from 4,713 to 32,991 per hour",22 minutes,5 hours,Client notified proactively — resolved within SLA window,Apr-2025
ANO-0056,2025-04-22,CLT-0202,United States,Failed Transaction Surge,High,Failed transaction rate surged from 2.5% to 42.8%,23 minutes,11 hours,Network routing issue identified and corrected,Apr-2025
ANO-0057,2025-04-21,CLT-0022,United Kingdom,Volume Spike,High,"Transaction volume spiked from 7,764 to 108,696 per hour",31 minutes,8 hours,Compliance team notified — transaction pattern reviewed,Apr-2025
ANO-0058,2025-04-23,CLT-0057,United States,Volume Spike,High,"Transaction volume spiked from 3,762 to 22,572 per hour",39 minutes,6 hours,Client notified proactively — resolved within SLA window,Apr-2025
ANO-0059,2025-05-01,CLT-0043,United States,Volume Spike,Medium,"Transaction volume spiked from 3,203 to 48,045 per hour",54 minutes,10 hours,Auto-alert triggered — ops team investigated and resolved,May-2025
ANO-0060,2025-05-02,CLT-0141,United States,Failed Transaction Surge,High,Failed transaction rate surged from 2.7% to 26.7%,27 minutes,2 hours,Client contacted — confirmed legitimate marketing campaign spike,May-2025
ANO-0061,2025-05-06,CLT-0094,United States,Volume Drop,Medium,"Transaction volume dropped 91% below normal baseline of 5,859/hr",8 minutes,8 hours,Vendor incident raised with Stripe — resolved after API fix,May-2025
ANO-0062,2025-05-06,CLT-0221,United States,Volume Spike,High,"Transaction volume spiked from 6,365 to 31,825 per hour",36 minutes,12 hours,Escalated to VP Engineering — root cause identified as deployment issue,May-2025
ANO-0063,2025-05-07,CLT-0278,United States,Failed Transaction Surge,High,Failed transaction rate surged from 2.3% to 64.8%,21 minutes,4 hours,Data pipeline restarted — anomaly cleared,May-2025
ANO-0064,2025-05-09,CLT-0347,United States,Volume Drop,High,"Transaction volume dropped 72% below normal baseline of 3,539/hr",39 minutes,1 hours,Compliance team notified — transaction pattern reviewed,May-2025
ANO-0065,2025-05-13,CLT-0053,United States,Volume Spike,Medium,"Transaction volume spiked from 3,880 to 42,680 per hour",53 minutes,12 hours,Data pipeline restarted — anomaly cleared,May-2025
ANO-0066,2025-05-13,CLT-0201,United Kingdom,Volume Spike,High,"Transaction volume spiked from 4,883 to 43,947 per hour",30 minutes,9 hours,Client contacted — confirmed legitimate marketing campaign spike,May-2025
ANO-0067,2025-05-14,CLT-0103,Netherlands,Failed Transaction Surge,High,Failed transaction rate surged from 1.8% to 59.8%,27 minutes,6 hours,Escalated to VP Engineering — root cause identified as deployment issue,May-2025
ANO-0068,2025-05-16,CLT-0076,United States,Failed Transaction Surge,Medium,Failed transaction rate surged from 1.6% to 43.5%,11 minutes,10 hours,Client notified proactively — resolved within SLA window,May-2025
ANO-0069,2025-05-20,CLT-0003,United States,Volume Drop,Medium,"Transaction volume dropped 76% below normal baseline of 5,107/hr",23 minutes,6 hours,Auto-alert triggered — ops team investigated and resolved,May-2025
ANO-0070,2025-05-19,CLT-0011,United States,Volume Drop,Critical,"Transaction volume dropped 87% below normal baseline of 6,379/hr",31 minutes,6 hours,Vendor incident raised with Stripe — resolved after API fix,May-2025
ANO-0071,2025-05-21,CLT-0274,United States,Volume Drop,Medium,"Transaction volume dropped 73% below normal baseline of 7,229/hr",23 minutes,6 hours,Auto-alert triggered — ops team investigated and resolved,May-2025
ANO-0072,2025-05-23,CLT-0241,United Kingdom,Failed Transaction Surge,High,Failed transaction rate surged from 2.0% to 42.2%,54 minutes,9 hours,Client contacted — confirmed legitimate marketing campaign spike,May-2025
